Ultimate.Parent	Shareholder	Shareholder.Region	Shareholder.Category
ITOCHU Corp.	Itochu-Shokuhin Co., Ltd.	Asia	Non-financial corporation
Seiko Corp. (6286)	Seiko Corp. (6286)	Asia	Non-financial corporation
Hagoromo Foods Corp.	Hagoromo Foods Corp.	Asia	Non-financial corporation
Tokan Co., Ltd.	Tokan Co., Ltd.	Asia	Non-financial corporation
Yamae Hisano Co., Ltd.	Yamae Hisano Co., Ltd.	Asia	Non-financial corporation
S. Ishimitsu & Co., Ltd.	S. Ishimitsu & Co., Ltd.	Asia	Non-financial corporation
AHJIKAN CO., LTD.	AHJIKAN CO., LTD.	Asia	Non-financial corporation
Mitsubishi Corp.	Nitto Fuji Flour Milling Co., Ltd.	Asia	Non-financial corporation
Satoh & Co., Ltd.	Satoh & Co., Ltd.	Asia	Non-financial corporation
ASATSU-DK, Inc	ASATSU-DK, Inc	Asia	Non-financial corporation
K.R.S. Corp.	K.R.S. Corp.	Asia	Non-financial corporation
The Zenitaka Corp.	The Zenitaka Corp.	Asia	Non-financial corporation
Okaya & Co., Ltd.	Okaya & Co., Ltd.	Asia	Non-financial corporation
Toda Corp.	Toda Corp.	Asia	Non-financial corporation
Toyo Suisan Kaisha, Ltd.	Toyo Suisan Kaisha, Ltd.	Asia	Non-financial corporation
AXYZ Co., Ltd.	AXYZ Co., Ltd.	Asia	Non-financial corporation
Nihon Unisys, Ltd.	Nihon Unisys, Ltd.	Asia	Non-financial corporation
Sapporo Holdings Ltd.	Sapporo Holdings Ltd.	Asia	Non-financial corporation
Daito Koun Co., Ltd.	Daito Koun Co., Ltd.	Asia	Non-financial corporation
Nisshin Seifun Group Inc.	Nisshin Seifun Group Inc.	Asia	Non-financial corporation
Nichirei Corp.	Nichirei Corp.	Asia	Non-financial corporation
Kinden Corp.	Kinden Corp.	Asia	Non-financial corporation
Obayashi Corp.	Obayashi Corp.	Asia	Non-financial corporation
Shimizu Corp.	Shimizu Corp.	Asia	Non-financial corporation
