Ultimate.Parent	Shareholder	Shareholder.Region	Shareholder.Category
City of Shanghai	Shanghai State-Owned Assets Supervision & Administration	Asia	Government
Government of Saudi Arabia	Public Investment Fund (Investment Company)	Middle East	Government
Government of New Zealand	Guardians of New Zealand Superannuation	Pacific	Government
Government of Norway	Norges Bank Investment Management	Europe	Government
Government of Singapore	GIC Pte Ltd. (Investment Management)	Asia	Government
Emirate of Abu Dhabi (United Arab Emirates)	Abu Dhabi Investment Authority (Investment Management)	Middle East	Government
Government of China	SAFE Investment Co. Ltd.	Asia	Government
Government of China	China Investment Corp. (Investment Management)	Asia	Government
AARSKOG ALF HELGE	AARSKOG ALF HELGE	Europe	Individual
ABDULLA KHALID /SEKUNJALO/	ABDULLA KHALID /SEKUNJALO/	Africa	Individual
ABOOBAKER FAREEDA	ABOOBAKER FAREEDA	-	Individual
ADAM FREDDY	ADAM FREDDY	Asia	Individual
AGNER NIELS KRISTIAN	AGNER NIELS KRISTIAN	Europe	Individual
AH SING CHANTELLE	AH SING CHANTELLE	Africa	Individual
AHLERS DIRK	AHLERS DIRK	Europe	Individual
AHLERS FELIX	AHLERS FELIX	Europe	Individual
AL DHAHERI ALI KHALFAN RASHID AL MUTAWA	AL DHAHERI ALI KHALFAN RASHID AL MUTAWA	Middle East	Individual
AL JAUHAR KHALID JAUHAR MOHAMED	AL JAUHAR KHALID JAUHAR MOHAMED	Middle East	Individual
AL KATHEMI FAHED MUBAREK THABET	AL KATHEMI FAHED MUBAREK THABET	-	Individual
AL KHAMIRI MARIAM AHMED ABDULLAH ABDOOL	AL KHAMIRI MARIAM AHMED ABDULLAH ABDOOL	Middle East	Individual
AL QASSIMI MOHAMED AHMED MOHAMED AHMED SAEED	AL QASSIMI MOHAMED AHMED MOHAMED AHMED SAEED	Middle East	Individual
AL RASHEED ABDULAZIZ ABDULRAHMAN	AL RASHEED ABDULAZIZ ABDULRAHMAN	Middle East	Individual
AL RASHEED ABDULLAH ABDUL AZIZ	AL RASHEED ABDULLAH ABDUL AZIZ	Middle East	Individual
AL SANAA AHMED MOHAMMED ALI	AL SANAA AHMED MOHAMMED ALI	Middle East	Individual
AL SAUD MUTAAB ABDULAZIZ	AL SAUD MUTAAB ABDULAZIZ	Middle East	Individual
ALLEE GARY L	ALLEE GARY L	North America	Individual
ALLEN TREVOR J	ALLEN TREVOR J	Pacific	Individual
ALTINI CECILIA ANN	ALTINI CECILIA ANN	Africa	Individual
ALVAREZ RUBEN /NEW ZEALAND KING SALMON/	ALVAREZ RUBEN /NEW ZEALAND KING SALMON/	Pacific	Individual
AMIMOTO KENJI	AMIMOTO KENJI	Asia	Individual
AMORNRATTANACHAIKUL JIRANYA	AMORNRATTANACHAIKUL JIRANYA	-	Individual
AMORNRATTANACHAIKUL SIRIPAT	AMORNRATTANACHAIKUL SIRIPAT	-	Individual
AMORNRATTANACHAIKUL SOMCHAI	AMORNRATTANACHAIKUL SOMCHAI	Asia	Individual
AMORNRATTANACHAIKUL SOMSAK	AMORNRATTANACHAIKUL SOMSAK	Asia	Individual
ANDRESEN FAMILY	ANDRESEN FAMILY	Europe	Individual
ANGKHUMSAP PREECHA	ANGKHUMSAP PREECHA	Asia	Individual
ANTHOTKUNCHAI SOMCHET	ANTHOTKUNCHAI SOMCHET	Asia	Individual
ARACHNID NARUEMOL	ARACHNID NARUEMOL	Asia	Individual
ARENSON M L	ARENSON M L	Africa	Individual
ARIYOSHI FAMILY	ARIYOSHI KAZUE	Asia	Individual
ARIYOSHI FAMILY	ARIYOSHI YOSHIFUMI	Asia	Individual
ARIYOSHI FAMILY	ARIYOSHI YOSHIFUMI FAMILY	Asia	Individual
ASHIKAGA FAMILY	ASHIKAGA FAMILY	Asia	Individual
ASHIKAGA FAMILY	ASHIKAGA KEIICHI	Asia	Individual
ASHIKAGA FAMILY	ASHIKAGA NAOZUMI	Asia	Individual
ASHIZAWA YUTAKA	ASHIZAWA YUTAKA	Asia	Individual
ASSAMONGKOL AURAPAN	ASSAMONGKOL AURAPAN	Asia	Individual
ASTRUP FAMILY /PACTUM/	ASTRUP FAMILY /PACTUM/	Europe	Individual
CHUNG BO-YEON FAMILY	BAE SO-JO	Asia	Individual
BAHWAN SUHAIL SALIM ABDULLAH AL MUKHAINI	BAHWAN SUHAIL SALIM ABDULLAH AL MUKHAINI	Middle East	Individual
BALZER DIRK	BALZER DIRK	Europe	Individual
BELL ALAN	BELL ALAN	North America	Individual
BELL JOHAN WESSEL	BELL JOHAN WESSEL	-	Individual
BENDER FAMILY	BENDER FAMILY	Pacific	Individual
BHISALBUTRA SORACHAI	BHISALBUTRA SORACHAI	-	Individual
BIN BILAL MOHAMMAD KAMAL	BIN BILAL MOHAMMAD KAMAL	Asia	Individual
BIN MAHMOOD ZAINAL RASHID	BIN MAHMOOD ZAINAL RASHID	Asia	Individual
BIN MASRY MOHD AMIR /BORNEO AQUA/	BIN MASRY MOHD AMIR /BORNEO AQUA/	Asia	Individual
BODENMANN THOMAS	BODENMANN THOMAS	Europe	Individual
BOONEN PHILIPPE-JEAN	BOONEN PHILIPPE-JEAN	Europe	Individual
BOONMECHOTE RITTIRONG	BOONMECHOTE RITTIRONG	Asia	Individual
BOONSAWAENG PIYARAT	BOONSAWAENG PIYARAT	-	Individual
BORNMAN LAWRENCE JOHANNES	BORNMAN LAWRENCE JOHANNES	Africa	Individual
BRABECK LETMATHE PETER	BRABECK LETMATHE PETER	Europe	Individual
BRACKA MICHAEL	BRACKA MICHAEL	Pacific	Individual
BRATTVOLL OLA NILSEN	BRATTVOLL OLA NILSEN	Europe	Individual
BREY CHANDBIBI	BREY CHANDBIBI	Africa	Individual
BREY HAMEIDA	BREY HAMEIDA	Africa	Individual
BREY OMAR	BREY OMAR	Africa	Individual
BROWN JOANNE E	BROWN JOANNE E	North America	Individual
BROWN PETER BROOKS	BROWN PETER BROOKS	North America	Individual
BROZIN LAWRIE ZEV	BROZIN LAWRIE ZEV	Africa	Individual
BRYAN STEPHEN C	BRYAN STEPHEN C	North America	Individual
BUNCHANANANTHAKUT WORANON	BUNCHANANANTHAKUT WORANON	-	Individual
BUNSAWAENG ANURAK	BUNSAWAENG ANURAK	Asia	Individual
BUNTAIN DEREK HEDLEY LONGWORTH	BUNTAIN DEREK HEDLEY LONGWORTH	North America	Individual
SUN ZHONG YI FAMILY	CAI JING /BAIYANG/	Asia	Individual
CARROLL MICHAEL GEOFFREY	CARROLL MICHAEL GEOFFREY	Pacific	Individual
CHAANGTONGSIRI MONDTREE	CHAANGTONGSIRI MONDTREE	-	Individual
CHAEMWUTTHIPRICHA WANLOP	CHAEMWUTTHIPRICHA WANLOP	Asia	Individual
CHAIKITTISIN SARIYA	CHAIKITTISIN SARIYA	Asia	Individual
CHAN SHEUNG SHUN	CHAN SHEUNG SHUN	Asia	Individual
CHAN WENG CHIH	CHAN WENG CHIH	-	Individual
CHANANTHRANON PRIN	CHANANTHRANON PRIN	Asia	Individual
CHANRASAMI WILAIRAT	CHANRASAMI WILAIRAT	-	Individual
CHANSIRI BUSSAKORN	CHANSIRI BUSSAKORN	Asia	Individual
CHANSIRI DETPHON	CHANSIRI DETPHON	Asia	Individual
CHANSIRI DISPOL	CHANSIRI DISPOL	Asia	Individual
CHANSIRI FAMILY	CHANSIRI KRAISORN	Asia	Individual
CHANSIRI PORNNAPA	CHANSIRI PORNNAPA	Asia	Individual
CHANSIRI FAMILY	CHANSIRI THIRAPHONG	Asia	Individual
CHARNSETHIKUL ARYUTH	CHARNSETHIKUL ARYUTH	Asia	Individual
CHAROENKUN CHAROENSI	CHAROENKUN CHAROENSI	Asia	Individual
CHATPHON UTSANACHIT	CHATPHON UTSANACHIT	Asia	Individual
CHE SHI	CHE SHI	Asia	Individual
CHEAH JUW TECK	CHEAH JUW TECK	Asia	Individual
CHEAH YAW SONG	CHEAH YAW SONG	Asia	Individual
CHEARAVANONT FAMILY	CHEARAVANONT DHANIN	Asia	Individual
CHEARAVANONT FAMILY	CHEARAVANONT FAMILY	Asia	Individual
CHEN BOR HANN	CHEN BOR HANN	North America	Individual
CHEN GUANG LU	CHEN GUANG LU	Asia	Individual
CHEN HAN /ZHANJIANG/	CHEN HAN /ZHANJIANG/	Asia	Individual
CHEN JI XIA	CHEN JI XIA	-	Individual
CHEN JIAN /DALIAN YI QIAO/	CHEN JIAN /DALIAN YI QIAO/	Asia	Individual
CHEN SIEN NGO	CHEN SIEN NGO	-	Individual
CHEN XIANGHUI	CHEN XIANGHUI	Asia	Individual
CHEN YU ZHEN /CN/	CHEN YU ZHEN /CN/	Asia	Individual
CHENG FAMILY /NANTEX/	CHENG FAMILY /NANTEX/	Asia	Individual
CHEUNG LUP KWAN LAWRENCE	CHEUNG LUP KWAN LAWRENCE	Asia	Individual
CHEW THYE CHUAN	CHEW THYE CHUAN	Asia	Individual
CHIA APAR CHINTAT	CHIA APAR CHINTAT	Asia	Individual
CHIA APAR NARIT	CHIA APAR NARIT	Asia	Individual
CHIA MAK HOOI	CHIA MAK HOOI	Asia	Individual
CHIA SEONG POW	CHIA SEONG POW	Asia	Individual
CHIA SIANG ENG	CHIA SIANG ENG	Asia	Individual
CHIA YET MEE /BORNEO AQUA/	CHIA YET MEE /BORNEO AQUA/	Asia	Individual
CHIA-APAR CHANKATE	CHIA-APAR CHANKATE	Asia	Individual
CHIANGWARIWONG PHUSANISA	CHIANGWARIWONG PHUSANISA	Asia	Individual
CHIARAWONGVANIT NARONGRIT	CHIARAWONGVANIT NARONGRIT	Asia	Individual
CHINDASOMBATCHERIN NOPRUT	CHINDASOMBATCHERIN NOPRUT	Asia	Individual
CHINDASOMBATCHERIN PHONGRAK	CHINDASOMBATCHERIN PHONGRAK	Asia	Individual
CHINDASOMBATCHERIN PHONGSAPHAK	CHINDASOMBATCHERIN PHONGSAPHAK	-	Individual
CHIRAPHAROPRAPHA CHUENTHIP	CHIRAPHAROPRAPHA CHUENTHIP	Asia	Individual
CHIRAPHAROPRAPHA SIRAPRASOET	CHIRAPHAROPRAPHA SIRAPRASOET	Asia	Individual
CHONG KHING CHUNG	CHONG KHING CHUNG	-	Individual
CHOO CHIN WOO FAMILY	CHOO JI-HONG	Asia	Individual
CHOTIWATTANAPHAN CHAREONPORN	CHOTIWATTANAPHAN CHAREONPORN	-	Individual
CHOTIWATTANAPHAN SOMNUK	CHOTIWATTANAPHAN SOMNUK	Asia	Individual
CHOW SIEN TAI	CHOW SIEN TAI	Asia	Individual
CHOY YUEN CHU	CHOY YUEN CHU	Asia	Individual
CHRISTODOLOU MICHAEL N	CHRISTODOLOU MICHAEL N	North America	Individual
CHUAH CHOONG HEONG /BORNEO AQUA/	CHUAH CHOONG HEONG /BORNEO AQUA/	Asia	Individual
CHUNG BO-YEON FAMILY	CHUNG BO-YEON	Asia	Individual
PARK JOON HYUNG FAMILY	CHUNG CHUN-JA	Asia	Individual
CHUNG BO-YEON FAMILY	CHUNG JOON-SUB	Asia	Individual
CHUNG BO-YEON FAMILY	CHUNG JOON-YOUNG	Asia	Individual
CHUNG BO-YEON FAMILY	CHUNG SOON-HYE	Asia	Individual
CHUNG BO-YEON FAMILY	CHUNG SOON-OK	Asia	Individual
CLARK ANDREW /NEW ZEALAND KING SALMON/	CLARK ANDREW /NEW ZEALAND KING SALMON/	Pacific	Individual
CLARK CELESTE A	CLARK CELESTE A	North America	Individual
CLARKE DAVID HOWARD	CLARKE DAVID HOWARD	North America	Individual
CLAVADETSCHER CHRISTOPH	CLAVADETSCHER CHRISTOPH	Europe	Individual
COTIE TYRONE	COTIE TYRONE	North America	Individual
COVELLUZZI JAMES G	COVELLUZZI JAMES G	North America	Individual
CRAIGHEAD JANE	CRAIGHEAD JANE	North America	Individual
CRUTCHLEY SIMON L	CRUTCHLEY SIMON L	Africa	Individual
DAI LI MEI	DAI LI MEI	Asia	Individual
DALESSANDRO GARRETT RICHARD	DALESSANDRO GARRETT RICHARD	North America	Individual
DAMBARA TAKAO	DAMBARA TAKAO	Asia	Individual
DE BORJA CIFUENTES CORREA FRANCISCO	DE BORJA CIFUENTES CORREA FRANCISCO	Latin America	Individual
DE GENNARO BRUNO	DE GENNARO BRUNO	Europe	Individual
DE SPOELBERCH VISCOUNT PHILIPPE	DE SPOELBERCH VISCOUNT PHILIPPE	Europe	Individual
DECKER KEITH A	DECKER KEITH A	North America	Individual
DEIHL MONTGOMERY C	DEIHL MONTGOMERY C	North America	Individual
DEJIMA NOBUOMI	DEJIMA NOBUOMI	Asia	Individual
DEMONE HENRY E	DEMONE HENRY E	North America	Individual
DEXTER ROBERT P	DEXTER ROBERT P	North America	Individual
DICKSON JAMES MALCOLM	DICKSON JAMES MALCOLM	North America	Individual
DIONG SIEW GI	DIONG SIEW GI	Asia	Individual
DIPPENAAR LAURITZ LANSER	DIPPENAAR LAURITZ LANSER	Africa	Individual
DOO CHRISTOPHER JOHN	DOO CHRISTOPHER JOHN	Africa	Individual
DOU JING JING	DOU JING JING	Asia	Individual
DOUGLAS KEVIN GLEN	DOUGLAS KEVIN GLEN	Pacific	Individual
DU WAN CHUN	DU WAN CHUN	Asia	Individual
DUONG MINH NGOC	DUONG MINH NGOC	Asia	Individual
DYNON KEVIN ANTHONY	DYNON KEVIN ANTHONY	Pacific	Individual
EAMSAARD SUREERAT	EAMSAARD SUREERAT	Asia	Individual
EGAWA NORIKAZU	EGAWA NORIKAZU	Asia	Individual
ELIASEN ODD	ELIASEN ODD	Europe	Individual
ELLERINE FAMILY	ELLERINE FAMILY	Africa	Individual
ELS CARINA	ELS CARINA	Africa	Individual
ENUS BREY MUSTAQ AHMED	ENUS BREY MUSTAQ AHMED	Africa	Individual
ERIKSEN OYVIND	ERIKSEN OYVIND	Europe	Individual
ESKILDSEN ERLING HESSELLUND	ESKILDSEN ERLING HESSELLUND	Europe	Individual
ESUMI TOMOATSU	ESUMI TOMOATSU	Asia	Individual
EUNGORRAAM KOTRAGIAT	EUNGORRAAM KOTRAGIAT	-	Individual
FELICIANI ERMANNO	FELICIANI ERMANNO	-	Individual
FERNANDEZ VALDES JORGE	FERNANDEZ VALDES JORGE	Latin America	Individual
FISCHER LLOP FAMILY	FISCHER LLOP FAMILY	Latin America	Individual
FOO EE WYN /BORNEO AQUA/	FOO EE WYN /BORNEO AQUA/	Asia	Individual
FOONGVANNALUCK BOONLERT	FOONGVANNALUCK BOONLERT	-	Individual
FORTNEY TERESA H	FORTNEY TERESA H	North America	Individual
FREDRIKSEN JOHN	FREDRIKSEN JOHN	Europe	Individual
FUJII YUSAI	FUJII YUSAI	Asia	Individual
ARIYOSHI FAMILY	FUKUDA TSUGUO	Asia	Individual
GAFFNEY LEON	GAFFNEY LEON	-	Individual
GARCIA HOLTZ RICARDO	GARCIA HOLTZ RICARDO	Latin America	Individual
GASO HELGE	GASO HELGE	Europe	Individual
GENG RU MING	GENG RU MING	Asia	Individual
GEUKING COHAUSZ WELHELM IGNAZ ERICH	GEUKING COHAUSZ WELHELM IGNAZ ERICH	Africa	Individual
GILES HAROLD	GILES HAROLD	North America	Individual
GLASTAD FAMILY	GLASTAD ENDRE TARALD	Europe	Individual
GOH SUNG HIEN	GOH SUNG HIEN	-	Individual
GOODFELLOW PETER JOHN	GOODFELLOW PETER JOHN	Pacific	Individual
GOODFELLOW WILLIAM BRUCE	GOODFELLOW WILLIAM BRUCE	Pacific	Individual
GOODFELLOW WILLIAM D	GOODFELLOW WILLIAM D	Pacific	Individual
GOODWIN GARY R	GOODWIN GARY R	North America	Individual
GOTO FAMILY /HAGOROMO FOODS/	GOTO KIYOO	Asia	Individual
GOTO FAMILY /HAGOROMO FOODS/	GOTO YASUO /HAGOROMO FOODS/	Asia	Individual
GRIEG FAMILY	GRIEG FAMILY	Europe	Individual
GRIEG FAMILY	GRIEG PER JR	Europe	Individual
GRIFFIN MARK EDWARD	GRIFFIN MARK EDWARD	North America	Individual
GROSSMAN PETER	GROSSMAN PETER	North America	Individual
GUAN YA MEI	GUAN YA MEI	-	Individual
GUNNER PERRY RICHARD	GUNNER PERRY RICHARD	Pacific	Individual
GUO YAN FEN	GUO YAN FEN	Asia	Individual
HADDAD AMINE	HADDAD AMINE	Pacific	Individual
HADFIELD BEN	HADFIELD BEN	Europe	Individual
HAGEN STEIN ERIK FAMILY	HAGEN STEIN ERIK FAMILY	Europe	Individual
HALVORSEN OLE MORTEN	HALVORSEN OLE MORTEN	Europe	Individual
HAN KEEN JUAN FAMILY	HAN KEEN JUAN	Asia	Individual
HARDEGGER IDA	HARDEGGER IDA	Europe	Individual
HARIKUN WICHARINI	HARIKUN WICHARINI	Asia	Individual
HASHIMOTO KAZUHIRO /YOKOHAMA MARUUO/	HASHIMOTO KAZUHIRO /YOKOHAMA MARUUO/	Asia	Individual
HATLEBREKKE KLAUS	HATLEBREKKE KLAUS	Europe	Individual
HATTORI TAKAO	HATTORI TAKAO	Asia	Individual
HE ZHI LIN	HE ZHI LIN	Asia	Individual
HELD JOHN D	HELD JOHN D	North America	Individual
HENDARTO BAMBANG BUDI	HENDARTO BAMBANG BUDI	Asia	Individual
HENDEN FAMILY	HENDEN FAMILY	Europe	Individual
HENDRICKS CHERIE FELICITY	HENDRICKS CHERIE FELICITY	Africa	Individual
HENNIGAR ANDREW J	HENNIGAR ANDREW J	North America	Individual
HENNIGAR DAVID JOHN	HENNIGAR DAVID JOHN	North America	Individual
HENNIGAR MATTHEW ROY	HENNIGAR MATTHEW ROY	North America	Individual
HERNANDEZ-PONS TORRES FAMILY	HERNANDEZ-PONS TORRES FAMILY	North America	Individual
HEWU MZWANDILE JOHN TERROLD	HEWU MZWANDILE JOHN TERROLD	Africa	Individual
HIGASHI FAMILY /HIGASHIMARU/	HIGASHI FAMILY /HIGASHIMARU/	Asia	Individual
HIGASHI HISAE	HIGASHI HISAE	Asia	Individual
HIGASHI FAMILY /HIGASHIMARU/	HIGASHI KICHITARO	Asia	Individual
HIGASHI FAMILY /HIGASHIMARU/	HIGASHI KOICHIRO	Asia	Individual
HIGASHI FAMILY /HIGASHIMARU/	HIGASHI MINORU /HIGASHIMARU/	Asia	Individual
HIGASHI FAMILY /HIGASHIMARU/	HIGASHI TSUTOMU /HIGASHIMARU/	Asia	Individual
HII LEH MING	HII LEH MING	-	Individual
HIROTA KYOICHI	HIROTA KYOICHI	Asia	Individual
HO TEIK CHUAN	HO TEIK CHUAN	Asia	Individual
HOLYOAKE LAURENCE MARK	HOLYOAKE LAURENCE MARK	Europe	Individual
HOOD LARRY /CLEARWATER/	HOOD LARRY /CLEARWATER/	North America	Individual
HORI AKIHISA	HORI AKIHISA	Asia	Individual
HORINOUCHI KENJI	HORINOUCHI KENJI	Asia	Individual
HOSTLUND CHARLES	HOSTLUND CHARLES	Europe	Individual
HOTANI AKINORI	HOTANI AKINORI	Asia	Individual
HOU FAMILY	HOU PO MING	Asia	Individual
HOU FAMILY	HOU PO YU	Asia	Individual
HU GUANG JIAN	HU GUANG JIAN	Asia	Individual
HUA ZHONG FU	HUA ZHONG FU	Asia	Individual
HUANG FINNA	HUANG FINNA	Asia	Individual
HUANG ZUO QING	HUANG ZUO QING	Asia	Individual
HUI CHEN TSAI	HUI CHEN TSAI	-	Individual
IIO TERUO	IIO TERUO	Asia	Individual
IKEDA AKIHO	IKEDA AKIHO	Asia	Individual
IKEDA KAZUO /ALBIS/	IKEDA KAZUO /ALBIS/	Asia	Individual
INGIMUNDARSON INGIMUNDUR	INGIMUNDARSON INGIMUNDUR	Europe	Individual
INOU YOSHIKUNI	INOU YOSHIKUNI	Asia	Individual
ISAACS NATHEEMA	ISAACS NATHEEMA	Africa	Individual
ISHII RYOSUKE	ISHII RYOSUKE	Asia	Individual
ITO HIROYASU /CHUO GYORUI/	ITO HARUHIKO /CHUO GYORUI/	Asia	Individual
ITO HIROYASU /CHUO GYORUI/	ITO HIROYASU /CHUO GYORUI/	Asia	Individual
ITO SHIGENORI /UORIKI/	ITO SHIGENORI /UORIKI/	Asia	Individual
ITO TAKASHI /TSUKIJI UOICHIBA/	ITO TAKASHI /TSUKIJI UOICHIBA/	Asia	Individual
IWASE ICHIO	IWASE ICHIO	Asia	Individual
IYAWAN GARY	IYAWAN GARY	Asia	Individual
JACOBSEN JOHAN REGIN	JACOBSEN JOHAN REGIN	Europe	Individual
JACOBSEN ODDVOR	JACOBSEN ODDVOR	Europe	Individual
JAMIESON SHELLY L	JAMIESON SHELLY L	North America	Individual
JEWER PAUL A	JEWER PAUL A	North America	Individual
CHUNG BO-YEON FAMILY	JI PYUNG-EUN	Asia	Individual
JIA HONG MEI	JIA HONG MEI	Asia	Individual
JIA TIAN JIANG FAMILY	JIA TIAN JIANG FAMILY	Asia	Individual
JIANG REN FEI /CN/	JIANG REN FEI /CN/	Asia	Individual
JIARAVANON BENJAMIN	JIARAVANON BENJAMIN	Asia	Individual
JIARAVANON FAMILY	JIARAVANON FAMILY	Asia	Individual
JIENGWAREEWONG CHOKCHAI FAMILY	JIENGWAREEWONG CHOKCHAI	Asia	Individual
JIENGWAREEWONG JANTHIP	JIENGWAREEWONG JANTHIP	Asia	Individual
JIN JIANFANG	JIN JIANFANG	North America	Individual
JIRAPATTANAKUL THIWA	JIRAPATTANAKUL THIWA	Asia	Individual
JIRAPHUMMIN WALAIPORN	JIRAPHUMMIN WALAIPORN	Asia	Individual
JOFFE BRIAN	JOFFE BRIAN	Africa	Individual
JOHANNESEN ANDREW C	JOHANNESEN ANDREW C	North America	Individual
CHOO CHIN WOO FAMILY	JOO JIN-WOO	Asia	Individual
KADER MOHAMMED HANIEF	KADER MOHAMMED HANIEF	-	Individual
KAMIOKA YASUKO	KAMIOKA YASUKO	Asia	Individual
KAMIYA TOMONARI	KAMIYA TOMONARI	Asia	Individual
KANOKPREECHAWUT SUKARNDA	KANOKPREECHAWUT SUKARNDA	-	Individual
KANOKPREECHAWUT THANASIT	KANOKPREECHAWUT THANASIT	-	Individual
KANOKPREECHAWUT WILAISIRI	KANOKPREECHAWUT WILAISIRI	-	Individual
KANOKPRICHAWUTTHI RUEANGKIT	KANOKPRICHAWUTTHI RUEANGKIT	-	Individual
KANONRANGSI PAWITYA	KANONRANGSI PAWITYA	-	Individual
KAO FAMILY	KAO HSIU LING	Asia	Individual
KASAOKA FAMILY	KASAOKA AKEMI	Asia	Individual
KASAOKA FAMILY	KASAOKA FAMILY	Asia	Individual
KASAOKA FAMILY	KASAOKA KOZO	Asia	Individual
KASAOKA SHIGEKI	KASAOKA SHIGEKI	Asia	Individual
KASAOKA FAMILY	KASAOKA SHINICHI	Asia	Individual
KASHIHARA NAOKI	KASHIHARA NAOKI	Asia	Individual
KATSUTA NOBORU	KATSUTA NOBORU	Asia	Individual
KAWAGUCHI EISUKE	KAWAGUCHI EISUKE	Asia	Individual
KEELER HURSHMAN HEATHER	KEELER HURSHMAN HEATHER	North America	Individual
KEN CHOO GEK	KEN CHOO GEK	-	Individual
KENIN MIKHAIL BORISOVICH	KENIN MIKHAIL BORISOVICH	Europe	Individual
KHAN NAZEEM	KHAN NAZEEM	Africa	Individual
KHOO NG HIONG	KHOO NG HIONG	-	Individual
KHOZA MZWENI MOSES	KHOZA MZWENI MOSES	-	Individual
KIM DOH-HAN	KIM DOH-HAN	Asia	Individual
KIM JAE-CHUL FAMILY	KIM HO-RANG	Asia	Individual
KIM JAE-CHUL FAMILY	KIM JAE-WOON	Asia	Individual
CHUNG BO-YEON FAMILY	KIM MI-OH	Asia	Individual
PARK JOON HYUNG FAMILY	KIM SANG-DAE /SILLA/	Asia	Individual
KIMURA YOSUKE /TSUKIJI UOICHIBA/	KIMURA YOSUKE /TSUKIJI UOICHIBA/	Asia	Individual
KITAGAWA SHIGEO	KITAGAWA SHIGEO	Asia	Individual
KITICHARURAT AMPHON	KITICHARURAT AMPHON	Asia	Individual
KITICHARURAT THIRA	KITICHARURAT THIRA	Asia	Individual
KJAER PETER /SCHOUW/	KJAER PETER /SCHOUW/	Europe	Individual
KOGO SHIGEO	KOGO SHIGEO	Asia	Individual
KOIKE YUKIO	KOIKE YUKIO	Asia	Individual
KOTA FREDERICKS ZOLISWA	KOTA FREDERICKS ZOLISWA	Africa	Individual
KRAIRUEK PIKULKAEW	KRAIRUEK PIKULKAEW	-	Individual
KRAISITHISIRIN SITHICHAI FAMILY	KRAISITHISIRIN SITHICHAI	Asia	Individual
KRAISITSIRINTHON SINLAWAN	KRAISITSIRINTHON SINLAWAN	Asia	Individual
KRAISITTHISIRINTHON SANRAWI	KRAISITTHISIRINTHON SANRAWI	Asia	Individual
KRAISITTHISIRINTHON SARINTHA	KRAISITTHISIRINTHON SARINTHA	Asia	Individual
KRISTOFFERSEN FAMILY	KRISTOFFERSEN FAMILY	Europe	Individual
KRUGER JOHANNA CATHARINA	KRUGER JOHANNA CATHARINA	-	Individual
KUEH CHUNG PENG	KUEH CHUNG PENG	Asia	Individual
KUEH TIONG CHING	KUEH TIONG CHING	-	Individual
KUMAYAMA TADAKAZU	KUMAYAMA TADAKAZU	Asia	Individual
LAM THANH QUANG	LAM THANH QUANG	Asia	Individual
LAOTEPPITAKS CHALERM	LAOTEPPITAKS CHALERM	-	Individual
LAOTEPPITAKS CHANCHAI	LAOTEPPITAKS CHANCHAI	Asia	Individual
LAOTEPPITAKS CHAROEN	LAOTEPPITAKS CHAROEN	Asia	Individual
LAOTEPPITAKS SUTHIRA	LAOTEPPITAKS SUTHIRA	Asia	Individual
LAU LIONG KII	LAU LIONG KII	Asia	Individual
LAU PEK KII /CCK/	LAU PEK KII /CCK/	Asia	Individual
LEBLANC GREGORY W	LEBLANC GREGORY W	North America	Individual
LECAROS DE NEVARES FAMILY	LECAROS DE NEVARES FAMILY	Latin America	Individual
LECAROS LANAS FAMILY	LECAROS LANAS FAMILY	Latin America	Individual
LECAROS MENENDEZ MARIA JOSE	LECAROS MENENDEZ MARIA JOSE	Latin America	Individual
LECAROS MENENDEZ SERGIO	LECAROS MENENDEZ SERGIO	Latin America	Individual
LECHNER CHRISTOPH	LECHNER CHRISTOPH	Europe	Individual
TAN CHOON HOCK FAMILY	LEE SIEW KIN SERENE	Asia	Individual
LEE YIP KUN	LEE YIP KUN	North America	Individual
LEEWATTANAKIT WORAPONG	LEEWATTANAKIT WORAPONG	-	Individual
LEMMI EDUARDO GONZALEZ	LEMMI EDUARDO GONZALEZ	Latin America	Individual
LEON CHRISTOPHER	LEON CHRISTOPHER	Pacific	Individual
LEONG KAM HENG	LEONG KAM HENG	-	Individual
LEROY HALLVARD JR	LEROY HALLVARD JR	Europe	Individual
LEROY FAMILY	LEROY OLE EIRIK	Europe	Individual
LEWIS JAMIE /CLEAN/	LEWIS JAMIE /CLEAN/	Pacific	Individual
LI GUO TONG	LI GUO TONG	Asia	Individual
LI FAMILY /LIANHWA/	LI KAI HSUN	Asia	Individual
LI FAMILY /LIANHWA/	LI KAI YUAN	Asia	Individual
LI YI /PROC/	LI YI /PROC/	Asia	Individual
LI ZHONG	LI ZHONG	Asia	Individual
LI ZHUO	LI ZHUO	Asia	Individual
LIENHARD ERNST	LIENHARD ERNST	Europe	Individual
LIM ADAM /OLD CHANG KEE/	LIM ADAM /OLD CHANG KEE/	Asia	Individual
LIM FEI NEE /BORNEO AQUA/	LIM FEI NEE /BORNEO AQUA/	Asia	Individual
LIM KIAN HUAT /CCK/	LIM KIAN HUAT /CCK/	Asia	Individual
LIM NYEK KIONG	LIM NYEK KIONG	-	Individual
LIM NYUK SANG	LIM NYUK SANG	Asia	Individual
LIM TAO E	LIM TAO E	Asia	Individual
LIMSONG SOMKIART	LIMSONG SOMKIART	Asia	Individual
LIMUDUMPORN BOONCHONG	LIMUDUMPORN BOONCHONG	-	Individual
LIN CHANG SHENG	LIN CHANG SHENG	Asia	Individual
